iter	Passed	Remaining
914	14187	1317
915	14195	1301
916	14202	1285
917	14210	1269
918	14217	1253
919	14225	1237
920	14235	1221
921	14244	1205
922	14253	1189
923	14262	1173
924	14272	1157
925	14280	1141
926	14290	1125
927	14299	1109
928	14307	1093
929	14316	1077
930	14325	1061
931	14334	1045
932	14343	1029
933	14351	1014
934	14359	998
935	14367	982
936	14376	966
937	14383	950
938	14391	934
939	14399	919
940	14406	903
941	14414	887
942	14423	871
943	14431	856
944	14440	840
945	14449	824
946	14460	809
947	14469	793
948	14477	778
949	14486	762
950	14494	746
951	14502	731
952	14511	715
953	14519	700
954	14527	684
955	14535	669
956	14544	653
957	14552	637
958	14559	622
959	14567	606
960	14574	591
961	14582	576
962	14590	560
963	14598	545
964	14606	529
965	14615	514
966	14623	499
967	14631	483
968	14638	468
969	14646	452
970	14654	437
971	14661	422
972	14669	407
973	14677	391
974	14685	376
975	14692	361
976	14700	346
977	14708	330
978	14716	315
979	14724	300
980	14731	285
981	14739	270
982	14747	255
983	14756	239
984	14765	224
985	14774	209
986	14783	194
987	14791	179
988	14799	164
989	14806	149
990	14815	134
991	14823	119
992	14832	104
993	14840	89
994	14848	74
995	14856	59
996	14864	44
997	14872	29
998	14880	14
999	14889	0
